Model,RMSE (mm),MAE (mm),R²
Random Forest,30.709689310032363,22.327036873178173,0.8024662492014591
XGBoost,29.02501674691411,21.69520572953835,0.8235444092932312
LSTM,62.2338016431385,42.45482170501124,0.46592155858082573
