Model,Train RMSE,Test RMSE,Train R²,Test R²
Random Forest,16.003700957706016,36.885460372242626,0.963700262849142,0.8114172576781045
XGBoost,2.811101371268273,34.16382576448689,0.9988800061471393,0.8382201133427685
LSTM,29.29683970011992,35.63264920866811,0.878352223671347,0.8240100957568374
