date,monthly_rainfall_mm,year,month,month_of_year,season,rainfall_lag1,rainfall_lag3,rainfall_lag6,rainfall_lag12,rainfall_rolling_mean_3,rainfall_rolling_std_3,rainfall_rolling_mean_6,rainfall_rolling_mean_12
2010-06-01,23.96326216051513,2010,6,6,monsoon,5.096644615481332,1.9090433713155182,2.3220573124398034,12.826883832249006,10.470418087475041,11.765491700996714,10.821649988762644,41.928893394939756
2010-07-01,276.0937423986486,2010,7,7,monsoon,23.96326216051513,2.351347486428716,10.237183835360161,127.00129381832986,101.71788305821501,151.30826994891473,55.13107641597738,54.35326410996632
2010-08-01,316.2435934187561,2010,8,8,monsoon,276.0937423986486,5.096644615481332,21.372418463475004,121.61098490514254,205.4335326593066,158.43483499664026,104.27627224185755,70.57264815276744
2010-09-01,296.82291053050056,2010,9,9,monsoon,316.2435934187561,23.96326216051513,1.9090433713155182,165.08757633889346,296.3867487826351,20.078478827763245,153.42858343505506,81.55059266873471
2010-10-01,4.115815325395776,2010,10,10,autumn,296.82291053050056,276.0937423986486,2.351347486428716,14.875136982590258,205.72743975821746,174.87059804550452,153.72266140821625,80.65398253063518
2010-11-01,28.752099901536873,2010,11,11,autumn,4.115815325395776,316.2435934187561,5.096644615481332,7.319771449305284,109.8969419191444,162.35062345245072,157.6652372892255,82.44000990165446
2010-12-01,8.8618978638944,2010,12,12,winter,28.752099901536873,296.82291053050056,23.96326216051513,2.3220573124398034,13.90993769694233,13.070908883707729,155.14834323978872,82.98499661427569
2011-01-01,4.799231387414092,2011,1,1,winter,8.8618978638944,4.115815325395776,276.0937423986486,10.237183835360161,14.137743050948437,12.81838072230823,109.93259140458298,82.53183391028018
2011-02-01,50.479361474044666,2011,2,2,winter,4.799231387414092,28.752099901536873,316.2435934187561,21.372418463475004,21.380163575117702,25.282381286094743,65.63855274713106,84.9574124944943
2011-03-01,13.370944795484833,2011,3,3,spring,50.479361474044666,8.8618978638944,296.82291053050056,1.9090433713155182,22.88317921898118,24.280249668785192,18.396558457961774,85.91257094650842
2011-04-01,13.776320024101235,2011,4,4,spring,13.370944795484833,4.799231387414092,4.115815325395776,2.351347486428716,25.87554209787689,21.308496619666027,20.006642574412684,86.86465199131447
2011-05-01,40.16291460229649,2011,5,5,spring,13.776320024101235,50.479361474044666,28.752099901536873,5.096644615481332,22.436726473960835,15.352667241878951,21.908445024539287,89.7868411568824
2011-06-01,129.13625072729215,2011,6,6,monsoon,40.16291460229649,13.370944795484833,8.8618978638944,23.96326216051513,61.025161784563274,60.44339021830062,41.954170501772246,98.55125687078048
2011-07-01,143.06794029390014,2011,7,7,monsoon,129.13625072729215,13.776320024101235,4.799231387414092,276.0937423986486,104.12236854116291,55.82680184878562,64.99895531951991,87.46577336205144
2011-08-01,174.78079470883503,2011,8,8,monsoon,143.06794029390014,40.16291460229649,50.479361474044666,316.2435934187561,148.9949952433424,23.39238303595937,85.71586085865165,75.67720680289136
2011-09-01,198.38563911202496,2011,9,9,monsoon,174.78079470883503,129.13625072729215,13.370944795484833,296.82291053050056,172.07812470492004,27.757706488392508,116.55164324474167,67.47410085135172
2011-10-01,3.365872111404735,2011,10,10,autumn,198.38563911202496,143.06794029390014,13.776320024101235,4.115815325395776,125.51076864408822,106.43697187330949,114.81656859262559,67.41160558351912
2011-11-01,0.028346458039297837,2011,11,11,autumn,3.365872111404735,174.78079470883503,40.16291460229649,28.752099901536873,67.25995256048965,113.57043640217435,108.12747390191606,65.01795946322767
2011-12-01,0.9624054766929961,2011,12,12,winter,0.028346458039297837,198.38563911202496,129.13625072729215,8.8618978638944,1.452208015378991,1.7218302084955113,86.76516636014954,64.35966843096088
2012-01-01,12.091477220026528,2012,1,1,winter,0.9624054766929961,3.365872111404735,143.06794029390014,4.799231387414092,4.3607430515862555,6.711281893192365,64.93575584783726,64.96735558367858
2012-02-01,2.976265006415952,2012,2,2,winter,12.091477220026528,0.028346458039297837,174.78079470883503,50.479361474044666,5.3433825677118065,5.930134368528692,36.30166756410075,61.008764211376196
2012-03-01,8.671303945595177,2012,3,3,spring,2.976265006415952,0.9624054766929961,198.38563911202496,13.370944795484833,7.9130153906792,4.604674209340868,4.682611703029115,60.61712747388538
2012-04-01,28.289295489558526,2012,4,4,spring,8.671303945595177,12.091477220026528,3.365872111404735,13.776320024101235,13.312288147189866,13.279361009841859,8.836515599388079,61.826542096006825
2012-05-01,3.7613112676305502,2012,5,5,spring,28.289295489558526,2.976265006415952,0.028346458039297837,40.16291460229649,13.5739702342614,12.978158769690653,9.45867640098662,58.79307515145134
2012-06-01,6.336730350857086,2012,6,6,monsoon,3.7613112676305502,8.671303945595177,0.9624054766929961,129.13625072729215,12.795779036015368,13.479428212491579,10.354397213347303,48.55978178674841
2012-07-01,117.95701428581033,2012,7,7,monsoon,6.336730350857086,28.289295489558526,12.091477220026528,143.06794029390014,42.685018634765974,65.20017785889611,27.99865339097794,46.467204619407596
2012-08-01,294.54038492083725,2012,8,8,monsoon,117.95701428581033,3.7613112676305502,2.976265006415952,174.78079470883503,139.6113765191682,145.31696452814182,76.59267337671481,56.44717047040778
2012-09-01,110.50795635964494,2012,9,9,monsoon,294.54038492083725,6.336730350857086,8.671303945595177,198.38563911202496,174.33511852209753,104.16742133935566,93.56544877905644,49.12403024104278
2012-10-01,6.050038316144489,2012,10,10,autumn,110.50795635964494,117.95701428581033,28.289295489558526,3.365872111404735,137.03279319887554,146.06281268014388,89.85890591682077,49.34771075810443
2012-11-01,1.111333730710332,2012,11,11,autumn,6.050038316144489,294.54038492083725,3.7613112676305502,0.028346458039297837,39.223109468833236,61.783855075014365,89.41724299400074,49.43795969749368
2012-12-01,12.972121665331228,2012,12,12,winter,1.111333730710332,110.50795635964494,6.336730350857086,0.9624054766929961,6.711164570728664,5.9579684919326965,90.5231415464131,50.4387693798802
2013-01-01,48.91679211333923,2013,1,1,winter,12.972121665331228,6.050038316144489,117.95701428581033,12.091477220026528,21.000082503126908,24.893303902920973,79.01643785100124,53.50754562098959
2013-02-01,125.99944178170844,2013,2,2,winter,48.91679211333923,1.111333730710332,294.54038492083725,2.976265006415952,62.629451853459614,57.74791382408312,50.92628066114644,63.75947701893063
2013-03-01,10.957483956772945,2013,3,3,spring,125.99944178170844,12.972121665331228,110.50795635964494,8.671303945595177,61.95790595060685,58.61924600876386,34.33453526066778,63.949992019862115
2013-04-01,10.24985624757206,2013,4,4,spring,10.957483956772945,48.91679211333923,6.050038316144489,28.289295489558526,49.06892732868446,66.62471932210212,35.03450491590571,62.44670541636324
2013-05-01,2.0485016634576088,2013,5,5,spring,10.24985624757206,125.99944178170844,1.111333730710332,3.7613112676305502,7.75194728926752,4.951984778713613,35.19069957136359,62.30397128268216
2013-06-01,92.4577182051826,2013,6,6,monsoon,2.0485016634576088,10.957483956772945,12.972121665331228,6.336730350857086,34.918692038737404,49.998702017059635,48.43829899467215,69.48072027054262
2013-07-01,229.05096437459756,2013,7,7,monsoon,92.4577182051826,10.24985624757206,48.91679211333923,117.95701428581033,107.8523947477459,114.281567055314,78.4606610382152,78.73854944460822
2013-08-01,262.3073819623329,2013,8,8,monsoon,229.05096437459756,2.0485016634576088,125.99944178170844,294.54038492083725,194.60535484737102,90.01167747231962,101.17865106831927,76.05246586473287
2013-09-01,80.08818095926257,2013,9,9,monsoon,262.3073819623329,92.4577182051826,10.957483956772945,110.50795635964494,190.48217576539767,97.03928531597505,112.70043390206756,73.51748458136767
2013-10-01,51.39166200016388,2013,10,10,autumn,80.08818095926257,229.05096437459756,10.24985624757206,6.050038316144489,131.26240830725308,114.39170157965084,119.55740152749952,77.29595322170262
2013-11-01,2.491988176091865,2013,11,11,autumn,51.39166200016388,262.3073819623329,2.0485016634576088,1.111333730710332,44.657277045172755,39.23399341326641,119.6313159462719,77.41100775881775
2013-12-01,1.6736816763342224,2013,12,12,winter,2.491988176091865,80.08818095926257,92.4577182051826,12.972121665331228,18.51911061752997,28.471404640178598,104.50064319146384,76.469471093068
2014-01-01,28.356163860278695,2014,1,1,winter,1.6736816763342224,51.39166200016388,229.05096437459756,48.91679211333923,10.840611237568242,15.174430603520385,71.05150977241068,74.75608540531296
2014-02-01,64.38931611828183,2014,2,2,winter,28.356163860278695,2.491988176091865,262.3073819623329,125.99944178170844,31.473053884964894,31.473782000793367,38.065165465068844,69.62190826669406
2014-03-01,49.50406250242919,2014,3,3,spring,64.38931611828183,1.6736816763342224,80.08818095926257,10.957483956772945,47.41651416032988,18.107054121875734,32.96781238892995,72.83412314549875
2014-04-01,14.53827039032246,2014,4,4,spring,49.50406250242919,28.356163860278695,51.39166200016388,10.24985624757206,42.81054967034448,25.59070193581472,26.825580453956377,73.19149099072796
2014-05-01,32.8306676811405,2014,5,5,spring,14.53827039032246,64.38931611828183,2.491988176091865,2.0485016634576088,32.291000191297364,17.489141924532312,31.882027038131145,75.75667149220153
2014-06-01,16.41171881018533,2014,6,6,monsoon,32.8306676811405,49.50406250242919,1.6736816763342224,92.4577182051826,21.26021896054941,10.063991004681547,34.33836656043967,69.41950487595174
2014-07-01,88.9396909482906,2014,7,7,monsoon,16.41171881018533,14.53827039032246,28.356163860278695,229.05096437459756,46.060692479872124,38.03093284088245,44.435621075108315,57.7435654237595
2014-08-01,98.5496760209265,2014,8,8,monsoon,88.9396909482906,32.8306676811405,64.38931611828183,262.3073819623329,67.96702859313412,44.90601773020981,50.129014392215765,44.097089928642305
2014-09-01,82.18686335665876,2014,9,9,monsoon,98.5496760209265,16.41171881018533,49.50406250242919,80.08818095926257,89.89207677529193,8.222875935101733,55.576147867920696,44.27198012842532
2014-10-01,13.786178277620627,2014,10,10,autumn,82.18686335665876,88.9396909482906,14.53827039032246,51.39166200016388,64.84090588506861,44.96525678648458,55.450799182470384,41.138189818213384
2014-11-01,0.3143815850602078,2014,11,11,autumn,13.786178277620627,98.5496760209265,32.8306676811405,2.491988176091865,32.09580773977984,43.899973987934594,50.031418166457,40.95672260229408
2014-12-01,13.74020987767684,2014,12,12,winter,0.3143815850602078,82.18686335665876,16.41171881018533,1.6736816763342224,9.2802565801192,7.764709530541472,49.586166677705585,41.96226661907263
2015-01-01,32.702355918285605,2015,1,1,winter,13.74020987767684,13.786178277620627,88.9396909482906,28.356163860278695,15.585649127007526,16.272659735569086,40.21327750603809,42.324449290573206
2015-02-01,9.421212402731944,2015,2,2,winter,32.702355918285605,0.3143815850602078,98.5496760209265,64.38931611828183,18.62125939956477,12.38432049707457,25.358533569672332,37.74377398094405
2015-03-01,126.80449089796065,2015,3,3,spring,9.421212402731944,13.74020987767684,82.18686335665876,49.50406250242919,56.30935307299271,62.150432448767795,32.794804826555975,44.185476347238335
2015-04-01,42.5592428002141,2015,4,4,spring,126.80449089796065,32.702355918285605,13.786178277620627,14.53827039032246,59.59498203363554,60.51752494933958,37.59031558032156,46.52055738139597
2015-05-01,11.367538479427578,2015,5,5,spring,42.5592428002141,9.421212402731944,0.3143815850602078,32.8306676811405,60.243757392534086,59.715818994585796,39.43250839604945,44.73196328125323
2015-06-01,102.76103989083462,2015,6,6,monsoon,11.367538479427578,126.80449089796065,13.74020987767684,16.41171881018533,52.22927372349208,46.45777812812467,54.26931339824242,51.92774003797401
2015-07-01,228.9899922059895,2015,7,7,monsoon,102.76103989083462,42.5592428002141,32.702355918285605,88.9396909482906,114.37285685875054,109.27492306775915,86.98391944619307,63.598598476115576
2015-08-01,183.2891943078405,2015,8,8,monsoon,228.9899922059895,11.367538479427578,9.421212402731944,98.5496760209265,171.6800754682215,63.91021695174979,115.96191643037783,70.66022500002508
2015-09-01,50.103238737250265,2015,9,9,monsoon,183.2891943078405,102.76103989083462,126.80449089796065,82.18686335665876,154.1274750836934,92.94042200639814,103.17837440359277,67.98658961507438
2015-10-01,5.21909817161905,2015,10,10,autumn,50.103238737250265,228.9899922059895,42.5592428002141,13.786178277620627,79.53717707223659,92.6121338104333,96.95501696549358,67.27266627290756
2015-11-01,2.221399805431441,2015,11,11,autumn,5.21909817161905,183.2891943078405,11.367538479427578,0.3143815850602078,19.181245571433568,26.821144548354642,95.43066051982755,67.43158445793851
2015-12-01,1.0606739865278,2015,12,12,winter,2.221399805431441,50.103238737250265,102.76103989083462,13.74020987767684,2.8337239878594116,2.145769932689608,78.48059953577642,66.37495646700943
2016-01-01,3.18549081085622,2016,1,1,winter,1.0606739865278,5.21909817161905,228.9899922059895,32.702355918285605,2.1558548676051346,1.0639237464923237,40.84651596992088,63.915217708056964
2016-02-01,5.259582199559931,2016,2,2,winter,3.18549081085622,2.221399805431441,183.2891943078405,9.421212402731944,3.1685823323146316,2.099505172132104,11.174913951874117,63.56841519112597
2016-03-01,33.40007194730333,2016,3,3,spring,5.259582199559931,1.0606739865278,50.103238737250265,126.80449089796065,13.948381652573142,16.877548852357375,8.391052820216295,55.78471361190452
2016-04-01,0.36319852968779076,2016,4,4,spring,33.40007194730333,3.18549081085622,5.21909817161905,42.5592428002141,13.007617558850333,17.829267799028084,7.581736213227752,52.26837658936066
